query_id,template_id,params
query14.sql,1,"{""^^^_A"": ""100.00"", ""&&&_A"": ""'PROMO%'"", ""###_A"": ""1"", ""###_B"": ""0"", ""###_C"": ""1"", ""&&&_B"": ""'1995-09-01'"", ""&&&_C"": ""'1995-09-01'"", ""&&&_D"": ""'1'""}"
query17.sql,2,"{""^^^_A"": ""7.0"", ""&&&_A"": ""'Brand#23'"", ""&&&_B"": ""'MED BOX'"", ""^^^_B"": ""0.2""}"
query4.sql,3,"{""&&&_A"": ""'1993-07-01'"", ""&&&_B"": ""'1993-07-01'"", ""&&&_C"": ""'3'""}"
query3.sql,4,"{""###_A"": ""1"", ""&&&_A"": ""'BUILDING'"", ""&&&_B"": ""'1995-03-15'"", ""&&&_C"": ""'1995-03-15'"", ""###_B"": ""10""}"
query11.sql,5,"{""&&&_A"": ""'GERMANY'"", ""^^^_A"": ""0.0001"", ""&&&_B"": ""'GERMANY'""}"
query10.sql,6,"{""###_A"": ""1"", ""&&&_A"": ""'1993-10-01'"", ""&&&_B"": ""'1993-10-01'"", ""&&&_C"": ""'3'"", ""&&&_D"": ""'R'"", ""###_B"": ""20""}"
query13.sql,7,"{""&&&_A"": ""'%special%requests%'""}"
query5.sql,8,"{""###_A"": ""1"", ""&&&_A"": ""'ASIA'"", ""&&&_B"": ""'1994-01-01'"", ""&&&_C"": ""'1994-01-01'"", ""&&&_D"": ""'1'""}"
query20.sql,9,"{""&&&_A"": ""'forest%'"", ""^^^_A"": ""0.5"", ""&&&_B"": ""'1994-01-01'"", ""&&&_C"": ""'1994-01-01'"", ""&&&_D"": ""'1'"", ""&&&_E"": ""'CANADA'""}"
query16.sql,10,"{""&&&_A"": ""'Brand#45'"", ""&&&_B"": ""'MEDIUM POLISHED%'"", ""N_III_A"": ""(49,\n                 14,\n                 23,\n                 45,\n                 19,\n                 3,\n                 36,\n                 9)"", ""&&&_C"": ""'%Customer%Complaints%'""}"
query18.sql,11,"{""###_A"": ""300"", ""###_B"": ""100""}"
query9.sql,12,"{""###_A"": ""1"", ""&&&_A"": ""'%green%'""}"
