query_id,template_id,params
3a203.sql,1,"{""###_A"": ""2015"", ""###_B"": ""1900"", ""N_SSS_A"": ""('identity-swapping',\n                    'internal-environmentalism',\n                    'reference-to-the-buffalo-bills',\n                    'rue-de-charenton-paris')"", ""N_SSS_B"": ""('[br]',\n                          '[us]')"", ""N_SSS_C"": ""('distributors',\n                  'production companies')"", ""N_SSS_D"": ""('tv movie',\n                  'tv series',\n                  'video game')"", ""N_SSS_E"": ""('cinematographer',\n                  'producer')"", ""N_SSS_F"": ""('m')""}"
3a1276.sql,1,"{""###_A"": ""2015"", ""###_B"": ""1900"", ""N_SSS_A"": ""('based-on-play',\n                    'friendship',\n                    'kidnapping',\n                    'marriage',\n                    'singer')"", ""N_SSS_B"": ""('[hk]',\n                          '[se]')"", ""N_SSS_C"": ""('distributors',\n                  'production companies')"", ""N_SSS_D"": ""('episode',\n                  'movie',\n                  'video movie')"", ""N_SSS_E"": ""('miscellaneous crew',\n                  'producer')"", ""N_SSS_F"": ""('f')""}"
3a353.sql,1,"{""###_A"": ""2015"", ""###_B"": ""1925"", ""N_SSS_A"": ""('based-on-novel',\n                    'based-on-play',\n                    'cigarette-smoking',\n                    'dancing',\n                    'doctor',\n                    'family-relationships',\n                    'female-frontal-nudity',\n                    'female-nudity',\n                    'jealousy',\n                    'love',\n                    'party',\n                    'tv-mini-series')"", ""N_SSS_B"": ""('[al]',\n                          '[cl]',\n                          '[ddde]',\n                          '[ee]',\n                          '[pl]',\n                          '[tr]')"", ""N_SSS_C"": ""('distributors',\n                  'production companies')"", ""N_SSS_D"": ""('episode',\n                  'movie')"", ""N_SSS_E"": ""('editor')"", ""N_SSS_F"": ""('f',\n                   'm')""}"
3a1006.sql,1,"{""###_A"": ""2015"", ""###_B"": ""1900"", ""N_SSS_A"": ""('dog',\n                    'female-nudity',\n                    'kidnapping',\n                    'non-fiction',\n                    'sex')"", ""N_SSS_B"": ""('[cn]',\n                          '[cz]')"", ""N_SSS_C"": ""('production companies')"", ""N_SSS_D"": ""('episode',\n                  'movie',\n                  'video movie')"", ""N_SSS_E"": ""('director')"", ""N_SSS_F"": ""('f')""}"
3a1307.sql,1,"{""###_A"": ""2015"", ""###_B"": ""1990"", ""N_SSS_A"": ""('arizona',\n                    'emptiness',\n                    'european-commissioner',\n                    'killed')"", ""N_SSS_B"": ""('[au]',\n                          '[be]',\n                          '[br]',\n                          '[ca]',\n                          '[dk]',\n                          '[hk]',\n                          '[hu]',\n                          '[jp]',\n                          '[ph]',\n                          '[ru]',\n                          '[xyu]')"", ""N_SSS_C"": ""('distributors',\n                  'production companies')"", ""N_SSS_D"": ""('episode',\n                  'movie',\n                  'video movie')"", ""N_SSS_E"": ""('miscellaneous crew')"", ""N_SSS_F"": ""('f')""}"
3a949.sql,1,"{""###_A"": ""2015"", ""###_B"": ""1900"", ""N_SSS_A"": ""('anal-sex',\n                    'female-nudity',\n                    'non-fiction')"", ""N_SSS_B"": ""('[ca]',\n                          '[fi]',\n                          '[in]',\n                          '[nl]')"", ""N_SSS_C"": ""('distributors',\n                  'production companies')"", ""N_SSS_D"": ""('tv movie',\n                  'video game')"", ""N_SSS_E"": ""('costume designer',\n                  'editor')"", ""N_SSS_F"": ""('f',\n                   'm')""}"
3a517.sql,1,"{""###_A"": ""2015"", ""###_B"": ""1975"", ""N_SSS_A"": ""('dancing',\n                    'dog',\n                    'father-daughter-relationship',\n                    'gay',\n                    'homosexual',\n                    'police')"", ""N_SSS_B"": ""('[cn]',\n                          '[cu]',\n                          '[ddde]',\n                          '[ee]',\n                          '[lb]',\n                          '[lv]',\n                          '[pa]',\n                          '[ro]')"", ""N_SSS_C"": ""('distributors',\n                  'production companies')"", ""N_SSS_D"": ""('tv movie',\n                  'tv series',\n                  'video game')"", ""N_SSS_E"": ""('actor',\n                  'composer')"", ""N_SSS_F"": ""('m')""}"
3a39.sql,1,"{""###_A"": ""1990"", ""###_B"": ""1950"", ""N_SSS_A"": ""('bare-breasts',\n                    'father-son-relationship',\n                    'homosexual',\n                    'lesbian-sex',\n                    'murder',\n                    'revenge')"", ""N_SSS_B"": ""('[ch]',\n                          '[de]',\n                          '[pl]',\n                          '[pt]',\n                          '[ru]')"", ""N_SSS_C"": ""('distributors',\n                  'production companies')"", ""N_SSS_D"": ""('episode',\n                  'movie',\n                  'tv movie')"", ""N_SSS_E"": ""('producer')"", ""N_SSS_F"": ""('f')""}"
3a1226.sql,1,"{""###_A"": ""2015"", ""###_B"": ""1990"", ""N_SSS_A"": ""('brain-drain',\n                    'dark-times',\n                    'locked-inside-apartment',\n                    'moralization',\n                    'reference-to-abercrombie-and-fitch',\n                    'sexologist',\n                    'turk')"", ""N_SSS_B"": ""('[at]',\n                          '[be]',\n                          '[br]',\n                          '[fi]',\n                          '[gr]',\n                          '[hk]',\n                          '[hu]',\n                          '[kr]',\n                          '[mx]',\n                          '[nl]',\n                          '[ph]',\n                          '[us]')"", ""N_SSS_C"": ""('distributors',\n                  'production companies')"", ""N_SSS_D"": ""('tv movie',\n                  'tv series',\n                  'video game')"", ""N_SSS_E"": ""('actress',\n                  'writer')"", ""N_SSS_F"": ""('f',\n                   'm')""}"
3a443.sql,1,"{""###_A"": ""2015"", ""###_B"": ""1975"", ""N_SSS_A"": ""('anal-sex',\n                    'hardcore',\n                    'male-nudity',\n                    'murder',\n                    'non-fiction',\n                    'surrealism')"", ""N_SSS_B"": ""('[cz]',\n                          '[ddde]',\n                          '[lu]',\n                          '[pr]',\n                          '[si]',\n                          '[th]')"", ""N_SSS_C"": ""('distributors',\n                  'production companies')"", ""N_SSS_D"": ""('tv movie',\n                  'tv series')"", ""N_SSS_E"": ""('actor')"", ""N_SSS_F"": ""('m')""}"
